[0mroot [8] g4->ApplyCommand("/control/execute materialScan.mac"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"/control/execute materialScan.mac"[0m[38;5;83m[1m)
[0m/control/execute materialScan.mac
# Include default setup
#/control/execute jleic.mac
#Theta range: bins, start, span
/control/matScan/theta 1 0 0
#Phi range: bins, start, span
#/control/matScan/phi 1000 163 34
/control/matScan/phi 3600 0 360
#Start scan
/control/matScan/scan

         Theta(deg)    Phi(deg)  Length(mm)          x0     lambda0

                  0     12.1034        5000   0.0296679    0.013753
                  0     12.2034        5000   0.0301574   0.0140002
                  0     12.3034        5000   0.0348778   0.0161951
                  0     12.4034        5000   0.0319833    0.014805
                  0     12.5035        5000    0.030931   0.0143221
                  0     12.6035        5000   0.0327588   0.0152149
                  0     12.7035        5000   0.0350477   0.0161272
                  0     12.8036        5000   0.0378129   0.0174573
                  0     12.9036        5000   0.0338252   0.0155454
                  0     13.0036        5000   0.0341004   0.0156777
                  0     13.1036        5000   0.0298786   0.0136537
                  0     13.2037        5000   0.0288365   0.0131864
                  0     13.3037        5000   0.0304586   0.0140501
                  0     13.4037        5000   0.0318517   0.0147257
                  0     13.5038        5000   0.0337376   0.0154069
                  0     13.6038        5000   0.0311716   0.0141711
                  0     13.7038        5000    0.031177   0.0141734
                  0     13.8038        5000   0.0294416   0.0135078
                  0     13.9039        5000   0.0306897   0.0140946
                  0     14.0039        5000   0.0325239   0.0149828
                  0     14.1039        5000    0.036534   0.0169043
                  0     14.2039        5000   0.0325115   0.0149863
                  0      14.304        5000   0.0319519   0.0147156
                  0      14.404        5000   0.0344377   0.0159586
                  0      14.504        5000   0.0360748   0.0167605
                  0     14.6041        5000   0.0338242    0.015696
                  0     14.7041        5000   0.0320646   0.0148458
                  0     14.8041        5000   0.0336286   0.0155784
                  0     14.9041        5000   0.0291016   0.0133216
                  0     15.0042        5000   0.0291053    0.013323
                  0     15.1042        5000   0.0321178   0.0147708
                  0     15.2042        5000    0.028782   0.0131496
                  0     15.3043        5000   0.0303156   0.0137089
                  0     15.4043        5000   0.0303485   0.0137258
                  0     15.5043        5000   0.0310307   0.0140109
                  0     15.6043        5000   0.0299691    0.013627
                  0     15.7044        5000   0.0295744   0.0134161
                  0     15.8044        5000   0.0285894    0.012969
                  0     15.9044        5000   0.0316016   0.0144166
                  0     16.0044        5000   0.0308657   0.0140661
                  0     16.1045        5000   0.0351039   0.0161289
                  0     16.2045        5000   0.0321102   0.0146911
                  0     16.3045        5000   0.0325923   0.0149922
                  0     16.4046        5000   0.0281414   0.0128057
                  0     16.5046        5000   0.0281451   0.0128071
                  0     16.6046        5000   0.0311415   0.0142472
                  0     16.7046        5000   0.0307925   0.0140806
                  0     16.8047        5000   0.0294121   0.0134308
                  0     16.9047        5000   0.0281603   0.0128128
                  0     17.0047        5000   0.0284249   0.0129532
                  0     17.1048        5000   0.0316724   0.0143442
                  0     17.2048        5000   0.0336604   0.0152584
                  0     17.3048        5000   0.0350777   0.0159298
                  0     17.4048        5000    0.030793   0.0141209
                  0     17.5049        5000   0.0284967   0.0131972
                  0     17.6049        5000   0.0282836   0.0130878
                  0     17.7049        5000   0.0343867   0.0160329
                  0     17.8049        5000   0.0310206   0.0144657
                  0      17.905        5000   0.0310191   0.0144323
